파생키워드,총검색수,월간검색수(PC),월간검색수(모바일),경쟁정도,월평균클릭수(모바일),월평균클릭률(모바일)
근처맛집,782400,21100,761300,높음,1022.4,0.15%
샤브올데이,740600,45600,695000,중간,2129.9,0.34%
쿠우쿠우,590100,35800,554300,낮음,1718.4,0.4%
부산가볼만한곳,176900,21100,155800,높음,1506.0,1.06%
초밥,123150,7850,115300,높음,122.8,0.12%
광안리맛집,109400,11500,97900,높음,290.6,0.32%
3월제철음식,106600,21000,85600,높음,61.0,0.08%
부산맛집,105700,16300,89400,높음,196.4,0.23%
횟집,105100,5200,99900,높음,169.3,0.18%
해운대맛집,104900,11200,93700,높음,520.0,0.58%
서면맛집,95700,10400,85300,높음,164.7,0.21%
파주맛집,91720,8120,83600,높음,566.3,0.74%
브런치카페,84950,2650,82300,높음,222.3,0.3%
파주가볼만한곳,83360,6260,77100,높음,1018.2,1.62%
기장맛집,75210,6110,69100,높음,299.6,0.45%
회전초밥,72830,2830,70000,높음,196.0,0.3%
훠궈,67280,5580,61700,높음,290.1,0.5%
부산역맛집,57390,5790,51600,높음,161.1,0.33%
돼지국밥,57380,4180,53200,높음,131.3,0.26%
남포동맛집,54530,5430,49100,높음,200.6,0.44%
점심메뉴추천,50170,8970,41200,높음,142.1,0.39%
동태탕,48330,3230,45100,높음,147.8,0.35%
광안리드론쇼,47390,4190,43200,중간,201.4,0.48%
참치,43210,6010,37200,높음,468.3,1.37%
조개구이,42860,2760,40100,높음,218.0,0.57%
광안리카페,42470,2870,39600,중간,33.1,0.1%
경남가볼만한곳,41140,3140,38000,높음,234.1,0.75%
도다리회,41130,5230,35900,높음,606.3,2.0%
부산놀거리,40410,5210,35200,높음,161.1,0.53%
부산대맛집,40100,3800,36300,높음,85.7,0.26%
화명동맛집,39960,2660,37300,높음,75.2,0.23%
기장카페,37590,2390,35200,중간,87.0,0.27%
부산여행,37200,10300,26900,높음,133.4,0.54%
동대문맛집,36730,3630,33100,높음,102.7,0.33%
동래맛집,36690,4590,32100,높음,100.1,0.34%
명지맛집,36160,3860,32300,높음,132.3,0.44%
전포맛집,35560,4360,31200,높음,22.8,0.08%
기장가볼만한곳,34360,2260,32100,높음,498.4,1.79%
전포카페,34170,2370,31800,높음,19.9,0.08%
해물찜,32750,2050,30700,높음,180.6,0.62%
초밥맛집,32560,1360,31200,높음,39.0,0.14%
서면술집,32220,2720,29500,높음,37.0,0.14%
부산신세계아울렛,32020,2220,29800,낮음,6.9,0.09%
부산깡통시장,30480,2880,27600,높음,45.3,0.17%
장어덮밥,30110,3010,27100,높음,226.9,0.91%
밀면,29290,2090,27200,높음,114.8,0.47%
회,28810,3010,25800,높음,50.5,0.21%
초밥뷔페,27870,1870,26000,높음,100.9,0.42%
영도맛집,27790,2990,24800,높음,78.2,0.34%
부산기장맛집,27110,2110,25000,높음,115.2,0.49%
