메인키워드,자동완성_키워드,연관검색어,검색수(PC),검색수(모바일),클릭수(PC),클릭수(모바일),클릭률-PC(%),클릭률-모바일(%),경쟁정도,월평균노출광고수
부산 고기,부산 고기 맛집,"부산 양고기 맛집, 부산 돼지고기 맛집, 부산 고래고기 맛집, 부산 서면 고기 맛집, 부산 해운대 고기맛집, 부산 고기 무한리필 맛집, 부산 광안리 고기맛집, 부산 남천역 고기 맛집, 부산 우동 해운대역 맛집 고기, 부산역 고기 맛집",330,2700,0.1,13.3,0.05%,0.51%,높음,7
부산 고기,부산 고기 무한리필,"부산 고기 무한리필 맛집, 부산 무한리필, 부산 고기뷔페",60,830,0.0,3.4,0.0%,0.42%,중간,2
부산 고기,부산 고기집,"부산시청 고기집, 부산 명지 고기집, 부산역 고기집, 부산 캠핑 고기집, 부산 서면 고기집, 부산 동래 고기집, 부산 송도 고기집, 부산 연산동 고기집, 부산 용호동 고기집, 부산시청 항정살 고기집",200,1210,0.0,2.3,0.0%,0.2%,높음,10
부산 고기,부산 고깃집,(미제공),120,960,0.0,0.7,0.0%,0.08%,높음,3
부산 고기,부산 고기,(미제공),60,460,0.0,0.3,0.0%,0.08%,높음,3
부산 고기,부산 고기국수,(미제공),20,230,0.0,0.8,0.0%,0.38%,중간,2
부산 고기,부산 고기와집,(미제공),60,210,0.0,0.0,0.0%,0.0%,중간,1
부산 고기,부산 고기뷔페,부산 고기 무한리필,40,280,0.0,0.9,0.0%,0.38%,중간,2
부산 고기,부산 고기형,(미제공),20,120,0.0,0.0,0.0%,0.0%,낮음,0
부산 고기,부산 고기짬뽕,(미제공),10,90,0.0,0.8,0.0%,8.34%,중간,1
부산 라멘,부산 라멘 맛집,"부산 서면 라멘 맛집, 부산 일본 라멘 맛집, 부산 라멘, 부산 라멘 미슐랭, 부산 라면 맛집",200,2120,0.0,2.4,0.0%,0.13%,높음,3
부산 라멘,부산 라멘,"부산라멘갤러리, 부산 라멘 맛집, 부산 라멘 미슐랭, 부산역 라멘, 부산 해운대 라멘, 부산 지로라멘, 부산 서면 라멘, 부산라멘갤, 부산 일본라멘, 부산 심야라멘",400,2700,0.0,0.5,0.0%,0.02%,높음,3
부산 라멘,부산 라멘집,(미제공),40,240,0.0,0.0,0.0%,0.0%,중간,1
