기준키워드,계층,파생키워드,키워드출처,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출광고수,노출건수(모바일)
시청고기집,1,시청고기집,메인키워드,80,600,0.0,0.0,0.0%,0.0%,중간,1,0
시청고기집,2,시청 고기집,자동완성,80,600,0.0,0.0,0.0%,0.0%,중간,1,0
시청고기집,3,부산시청 고기집,연관검색어,250,1590,0.8,4.1,0.34%,0.28%,중간,4,0
시청고기집,3,시청역 고기집,연관검색어,140,500,0.0,0.0,0.0%,0.0%,중간,1,0
시청고기집,3,부산시청 항정살 고기집,연관검색어,10,440,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 목살 고기집,연관검색어,10,420,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 육회 고기집 추천,연관검색어,10,410,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 육회 고기집,연관검색어,10,400,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 근처 목살 고기집,연관검색어,10,390,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 주변 목살 고기집,연관검색어,10,390,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 근처 육회 고기집,연관검색어,10,360,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 주변 육회 고기집,연관검색어,10,360,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,제주시청 고기집,함께많이찾는(모바일),70,1590,0.0,1.3,0.0%,0.1%,높음,3,0
시청고기집,3,부산시청 고기집,함께많이찾는(모바일),250,1590,0.8,4.1,0.34%,0.28%,중간,4,0
시청고기집,3,대전 시청 고기집,함께많이찾는(모바일),70,350,0.0,1.5,0.0%,0.56%,중간,2,0
시청고기집,3,서울시청 고기집,함께많이찾는(모바일),50,130,0.0,0.5,0.0%,0.39%,중간,1,0
시청고기집,3,제주시청 근처 고기집,함께많이찾는(모바일),10,920,0.0,10.0,0.0%,3.04%,중간,1,0
시청고기집,3,제주시청 고기집 추천,함께많이찾는(모바일),10,910,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,제주시청 주변 고기집,함께많이찾는(모바일),10,640,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부천시청 고기집,함께많이찾는(모바일),30,460,0.3,1.3,1.03%,0.32%,높음,3,0
시청고기집,3,대전 시청역 고기집,함께많이찾는(모바일),40,190,0.0,0.0,0.0%,0.0%,중간,1,0
시청고기집,3,부천시청역 고기집,함께많이찾는(모바일),60,230,0.3,1.4,0.6%,0.61%,높음,3,0
시청고기집,3,제주시청 인근 고기집,함께많이찾는(모바일),10,300,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,제주시청 고기집 맛집,함께많이찾는(모바일),10,300,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,서울 시청역 고기집,함께많이찾는(모바일),20,60,0.0,0.0,0.0%,0.0%,중간,2,0
시청고기집,3,경기 처인구 용인시청고기집,함께많이찾는(모바일),10,150,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 육회 고기집 추천,함께많이찾는(모바일),10,410,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,2,제주시청 고기집,자동완성,70,1590,0.0,1.3,0.0%,0.1%,높음,3,0
시청고기집,3,제주시청 근처 고기집,연관검색어,10,920,0.0,10.0,0.0%,3.04%,중간,1,0
시청고기집,3,제주시청 고기집 추천,연관검색어,10,910,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,제주시청 주변 고기집,연관검색어,10,640,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,제주시청 인근 고기집,연관검색어,10,300,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,제주시청 고기집 맛집,연관검색어,10,300,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,제주시청 맛집,연관검색어,1290,9950,0.8,18.7,0.07%,0.21%,높음,10,0
시청고기집,3,제주시청 근처 고기집,함께많이찾는(모바일),10,920,0.0,10.0,0.0%,3.04%,중간,1,0
시청고기집,3,제주시청 고기집 추천,함께많이찾는(모바일),10,910,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,제주시청 주변 고기집,함께많이찾는(모바일),10,640,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,제주시청 인근 고기집,함께많이찾는(모바일),10,300,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,제주시청 고기집 맛집,함께많이찾는(모바일),10,300,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,제주 시청 고기집 어디가코,함께많이찾는(모바일),10,10,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,2,부산시청 고기집,자동완성,250,1590,0.8,4.1,0.34%,0.28%,중간,4,0
시청고기집,3,부산시청 항정살 고기집,연관검색어,10,440,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 목살 고기집,연관검색어,10,420,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 육회 고기집 추천,연관검색어,10,410,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 육회 고기집,연관검색어,10,400,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 근처 목살 고기집,연관검색어,10,390,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 항정살 고기집 추천,연관검색어,10,380,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 주변 목살 고기집,연관검색어,10,390,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 근처 육회 고기집,연관검색어,10,360,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 주변 육회 고기집,연관검색어,10,360,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청 목살 고기집 추천,연관검색어,10,90,0.0,0.0,0.0%,0.0%,낮음,0,0
시청고기집,3,부산시청근처고기집,함께많이찾는(모바일),10,20,0.0,0.0,0.0%,0.0%,중간,1,0
